game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,dead-of-the-night,high-round,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=fmIAg-fFFUU,,co-op,101,3,BeTTaPacKaPuNcH,BeTTaPacKaLuNcH,MANIAC-KlLLA,,0,
bo4,dead-of-the-night,flawless,all-elixirs-talismans,playstation,https://youtube.com/watch?v=fmIAg-fFFUU,,co-op,101,3,MANIAC-KlLLA,BeTTaPacKaPuNcH,BeTTaPacKaLuNcH,,0,
bo4,dead-of-the-night,first-room,all-elixirs-talismans-hardcore,playstation,http://twitch.tv/videos/1673316347,,co-op,75,3,Maddog187_,MANIAC-KlLLA,zombie882killr,,0,
bo4,ix,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=YNXTUA0bXcY,,co-op,61,3,Slap_Squad,MANIAC-KlLLA,Firekarl4ace,,0,
bo4,voyage-of-despair,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=i02Kxrntexg,,co-op,56,2,Slap_Squad,MANIAC-KlLLA,,,0,
bo3,revelations,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=AMhxQLwJThQ,,co-op,20,4,MANIAC-KlLLA,EXiLE_E-V-i-L,UrNextNightmare,N_elhady,0,
bo4,dead-of-the-night,no-power,all-elixirs-talismans-hardcore,playstation,http://twitch.tv/videos/1673316347,,co-op,75,3,Maddog187_,MANIAC-KlLLA,zombie882killr,,0,
bo4,ix,no-power,all-elixirs-talismans,playstation,https://youtube.com/watch?v=YNXTUA0bXcY,,co-op,61,3,Slap_Squad,Firekarl4ace,MANIAC-KlLLA,,0,
custom,dunder-mifflin-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=R60eR6oTR9c,,solo,30:48,1,MANIAC-KlLLA,,,,0,
custom,dome-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=52JXJ5J-R3U,,solo,31:50,1,MANIAC-KlLLA,,,,0,
bo4,dead-of-the-night,30-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=4lPRr9fiJPI,,co-op,33:19,3,MANIAC-KlLLA,Happydays7700,DaddyDontStop,,0,
bo4,dead-of-the-night,30-speedrun,all-elixirs-talismans,playstation,https://youtube.com/watch?v=Ex85HlxtYCo,,co-op,34:04,4,MANIAC-KlLLA,Happydays7700,Maddog187_,zombie882killr,0,
bo3,the-giant,30-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=p0cuilDjOxw,,co-op,35:39,3,TheRage47,MANIAC-KlLLA,GTA,,0,
bo3,gorod-krovi,30-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=6uXK8wAsvps,,co-op,51:33,4,MANIAC-KlLLA,EXiLE_E-V-i-L,UrNextNightmare,GregFPS,0,
bo4,blood-of-the-dead,50-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=jjAYxgqJYbM,,co-op,1:11:28,3,aTx_Philia,MANIAC-KlLLA,LilSqueezeygang,,0,
bo4,dead-of-the-night,50-speedrun,all-elixirs-talismans,playstation,https://youtube.com/watch?v=Ex85HlxtYCo,,co-op,1:32:10,4,MANIAC-KlLLA,Happydays7700,Maddog187_,zombie882killr,0,
